id_transacao,cpf_origem,cpf_destino,tipo_transacao,valor,data,hora
4012,195.364.028-15,780.351.926-12,Pix Recebido,14.63,2026-01-24,19:17:20
853,394.761.058-01,352.987.164-82,Pagamento,4.05,2026-01-05,14:45:56
4680,740.268.135-17,705.924.186-85,Saque Pix,120.93,2026-01-27,14:52:52
2628,085.376.429-83,790.864.213-69,Pix Recebido,49.72,2026-01-19,07:00:14
2531,692.081.374-22,352.609.174-99,Pix Recebido,15.86,2026-01-04,17:08:22
1090,392.061.754-16,764.051.298-02,Pix Recebido,1649.33,2026-01-25,16:06:21
916,468.523.917-28,369.418.702-22,Transferência,10.85,2026-01-13,20:18:41
1160,728.645.103-08,035.174.982-97,Pix Enviado,10.0,2026-01-04,23:58:51
1468,426.958.073-92,047.359.216-99,Pix Recebido,338.78,2026-01-26,11:01:55
3739,106.847.592-76,501.936.428-24,Pix Recebido,12.0,2026-01-08,07:33:32
4146,871.543.069-39,341.586.027-26,Transferência,27.87,2026-01-20,12:34:52
5089,180.974.253-60,125.073.486-07,Pix Enviado,221.95,2026-01-13,22:29:00
4732,479.028.536-74,684.512.790-58,Transferência,26.3,2026-01-11,15:29:04
2726,461.930.852-89,587.623.149-55,Saque Pix,25.67,2026-01-02,09:31:22
4151,476.018.539-93,209.814.765-11,Saque Pix,15.64,2026-01-27,02:07:24
1857,587.623.149-55,039.285.471-60,Pix Recebido,100.21,2026-01-08,17:44:49
1288,209.814.765-11,826.043.157-26,Pix Recebido,34.21,2026-01-30,17:08:59
1691,659.043.178-75,890.715.642-58,Transferência,232.41,2026-01-28,22:59:42
1539,307.815.642-71,908.617.235-03,Transferência,55.99,2026-01-12,17:48:05
2293,315.297.648-82,201.479.685-85,Saque Pix,82.59,2026-01-13,23:23:52
5033,584.129.376-19,284.376.901-96,Pix Enviado,83.97,2026-01-09,07:41:00
2746,152.068.479-76,631.892.540-60,Pix Enviado,1.24,2026-01-09,16:51:29
3916,341.906.587-66,873.645.201-71,Saque Pix,115.07,2026-01-28,21:42:49
3143,721.680.359-03,923.570.146-52,Transferência,8.23,2026-01-15,06:01:51
3564,603.184.597-01,136.258.904-70,Pix Recebido,105.64,2026-01-07,20:34:15
1075,538.294.706-65,613.924.875-28,Saque Pix,1357.57,2026-01-26,21:40:02
2971,296.518.073-77,309.821.576-30,Pix Enviado,179.22,2026-01-18,09:07:27
1896,036.295.174-80,356.810.749-00,Pagamento,42.6,2026-01-04,14:19:25
3804,728.645.103-08,193.674.528-37,Pix Enviado,65.45,2026-01-23,09:22:24
4083,072.584.613-53,810.723.956-30,Pix Recebido,14.96,2026-01-27,23:08:22
258,645.723.801-71,352.609.174-99,Saque Pix,637.44,2026-01-15,01:15:12
2493,392.061.754-16,784.952.361-09,Pix Enviado,65.71,2026-01-15,23:13:23
1360,726.480.359-74,137.268.905-21,Transferência,64.16,2026-01-17,09:56:37
2253,721.680.359-03,358.709.642-29,Transferência,43.28,2026-01-02,14:22:52
3519,790.314.562-25,367.158.024-08,Pagamento,10.46,2026-01-12,14:57:09
603,973.125.408-05,906.432.781-50,Saque Pix,169.93,2026-01-22,17:20:39
5214,756.049.283-56,253.964.807-00,Pix Enviado,16646.17,2026-01-24,04:47:16
4825,362.794.051-25,347.685.102-80,Saque Pix,33.77,2026-01-11,08:33:33
1717,834.062.951-42,710.354.892-79,Pix Recebido,121.86,2026-01-15,22:57:21
1097,230.541.986-42,431.026.795-52,Pix Recebido,33.91,2026-01-29,22:37:02
3401,418.326.590-89,521.487.369-73,Pagamento,46.01,2026-01-06,15:23:28
1605,304.817.652-71,740.268.135-17,Pagamento,41.92,2026-01-31,16:48:40
1275,561.379.248-82,365.182.970-77,Pagamento,27.21,2026-01-11,20:52:24
1155,238.164.507-17,309.821.576-30,Transferência,12.11,2026-01-20,09:41:13
1060,908.216.743-31,195.024.738-41,Saque Pix,243.95,2026-01-15,14:41:21
3355,826.045.791-11,842.063.951-60,Pagamento,125.55,2026-01-07,17:02:03
2149,634.510.872-35,461.930.852-89,Pagamento,21.73,2026-01-07,11:20:25
4820,165.874.920-02,430.187.562-07,Transferência,92.62,2026-01-30,10:58:21
1535,062.385.149-06,729.835.106-03,Pix Enviado,22.01,2026-01-16,18:18:42
4300,538.164.790-57,385.614.290-89,Pagamento,38.23,2026-01-26,21:12:27
5135,830.927.461-04,915.438.026-05,Pix Enviado,171.87,2026-01-03,09:47:00
4457,705.261.389-12,413.589.027-04,Saque Pix,4.32,2026-01-18,07:33:27
5217,309.451.268-24,648.570.321-71,Pix Enviado,19993.71,2026-01-16,02:34:44
4183,367.158.024-08,039.856.271-77,Transferência,11.69,2026-01-20,12:51:05
1816,617.409.532-07,386.452.079-74,Transferência,50.66,2026-01-28,14:38:06
4950,426.958.073-92,056.794.832-38,Transferência,43.45,2026-01-19,11:55:17
3946,072.584.613-53,341.906.587-66,Saque Pix,27.42,2026-01-20,21:37:03
4666,906.432.781-50,609.483.725-83,Pagamento,19.76,2026-01-17,10:29:08
2942,394.761.058-01,435.721.906-06,Saque Pix,40.8,2026-01-04,12:40:06
812,367.158.024-08,813.729.654-91,Transferência,20.29,2026-01-11,14:39:12
1485,842.967.503-56,392.061.754-16,Transferência,33.99,2026-01-19,15:41:32
3061,062.371.594-52,169.502.387-03,Transferência,148.88,2026-01-29,08:16:17
876,954.731.820-97,164.728.503-80,Transferência,20.16,2026-01-29,16:22:15
2588,325.479.061-80,726.480.359-74,Transferência,16.33,2026-01-27,13:16:31
4691,349.270.618-50,790.562.348-38,Pagamento,32.58,2026-01-07,23:23:41
1091,062.834.975-00,126.735.894-73,Pix Recebido,9.98,2026-01-20,04:16:58
2138,392.061.754-16,264.983.571-00,Pix Recebido,95.75,2026-01-09,04:32:32
4580,630.859.427-00,459.102.768-67,Pix Recebido,55.94,2026-01-04,15:49:57
4850,310.748.562-44,234.165.097-06,Pix Recebido,95.7,2026-01-17,22:59:49
2799,052.396.874-47,391.256.840-51,Transferência,95.41,2026-01-15,17:02:31
3995,645.723.801-71,426.958.073-92,Pix Enviado,83.88,2026-01-14,23:23:46
4307,238.164.507-17,350.298.164-70,Transferência,4.81,2026-01-07,17:07:16
2068,360.479.185-57,475.690.821-76,Saque Pix,45.33,2026-01-03,13:47:32
4382,138.470.659-39,381.462.795-46,Saque Pix,100.62,2026-01-10,11:10:16
3860,851.672.349-64,302.987.451-60,Transferência,27.47,2026-01-03,14:29:28
18,069.251.738-30,790.562.348-38,Saque Pix,283.76,2026-01-10,11:44:53
1861,326.104.759-34,710.354.892-79,Pix Enviado,6.79,2026-01-20,17:38:41
178,412.350.768-90,951.380.274-41,Pix Enviado,53.53,2026-01-18,08:36:37
2088,107.563.284-62,681.297.045-01,Pix Enviado,465.98,2026-01-01,11:45:56
2503,829.361.574-55,379.206.814-13,Transferência,56.16,2026-01-17,22:06:07
3122,062.834.975-00,635.492.107-52,Pagamento,9.08,2026-01-31,18:36:11
3816,617.409.532-07,462.178.059-01,Saque Pix,11.52,2026-01-16,18:23:03
4849,285.360.941-33,741.692.835-46,Saque Pix,11.38,2026-01-25,12:25:18
374,062.834.975-00,206.791.835-40,Pix Recebido,54.39,2026-01-30,11:20:28
4615,093.587.412-79,617.409.532-07,Saque Pix,57.69,2026-01-31,22:42:37
3291,834.750.926-38,260.549.387-38,Saque Pix,94.86,2026-01-03,22:50:29
2978,607.128.395-77,296.308.147-22,Pagamento,55.92,2026-01-30,12:24:55
1663,561.379.248-82,418.326.590-89,Saque Pix,553.46,2026-01-15,20:48:59
413,392.061.754-16,341.586.027-26,Pix Recebido,77.43,2026-01-29,15:45:32
2806,403.182.657-53,095.126.384-60,Pix Recebido,104.8,2026-01-11,08:01:34
3200,503.197.648-93,761.540.389-84,Saque Pix,11.67,2026-01-26,17:32:19
1651,856.041.793-10,361.498.250-51,Transferência,5.13,2026-01-05,15:35:07
2488,913.086.257-40,496.318.570-93,Pagamento,48.23,2026-01-31,15:31:34
3600,908.457.623-38,753.081.629-21,Saque Pix,22.11,2026-01-11,13:21:20
2176,209.814.765-11,957.634.182-55,Pagamento,9.97,2026-01-02,17:54:45
4886,046.753.921-99,602.138.497-04,Pix Recebido,44.99,2026-01-06,15:48:37
3521,459.102.768-67,048.126.935-51,Pix Recebido,25.76,2026-01-28,06:37:09
3228,913.025.468-05,941.267.358-28,Saque Pix,3.85,2026-01-22,13:28:59
2898,093.587.412-79,784.351.690-57,Pagamento,154.48,2026-01-23,23:26:24
3758,236.174.085-08,853.421.096-98,Saque Pix,11.46,2026-01-11,12:09:07
3062,341.586.027-26,042.837.195-79,Pagamento,22.26,2026-01-28,22:55:16
2686,521.463.087-53,632.549.807-00,Pix Recebido,34.79,2026-01-20,06:31:03
4088,042.837.195-79,195.364.028-15,Pix Recebido,12.66,2026-01-20,05:48:55
4684,378.124.690-69,403.182.657-53,Pagamento,127.2,2026-01-27,19:16:40
3831,829.361.705-59,624.158.397-28,Saque Pix,19.81,2026-01-15,14:16:01
3277,921.346.750-80,036.295.174-80,Pix Enviado,16.95,2026-01-27,16:55:02
2010,315.297.648-82,821.476.305-35,Pix Enviado,26.44,2026-01-28,09:57:02
4635,068.427.953-38,587.623.149-55,Pagamento,140.46,2026-01-15,12:44:29
4024,613.924.875-28,301.274.698-69,Transferência,7.69,2026-01-10,22:53:00
5125,128.930.674-50,723.041.685-07,Pix Enviado,122.42,2026-01-06,10:16:00
36,741.609.852-11,072.184.659-94,Pix Enviado,38.25,2026-01-13,15:27:48
2361,138.470.659-39,296.035.418-42,Saque Pix,24.18,2026-01-04,06:38:41
906,852.091.463-24,546.832.109-24,Transferência,179.17,2026-01-18,23:56:32
4958,615.093.847-66,175.602.348-44,Pagamento,132.18,2026-01-12,11:39:50
1433,718.693.240-13,103.426.978-03,Pix Enviado,435.68,2026-01-12,14:35:01
1174,790.138.246-50,716.983.054-00,Pix Recebido,88.3,2026-01-05,16:39:44
2335,085.721.436-53,423.079.615-34,Pagamento,140.88,2026-01-08,22:21:53
3823,106.847.592-76,304.752.186-71,Transferência,13.56,2026-01-13,17:02:23
2295,248.195.730-04,361.479.205-61,Pix Recebido,211.22,2026-01-22,22:57:31
66,840.935.162-51,568.137.204-90,Transferência,14.47,2026-01-01,22:45:22
4546,812.540.796-02,794.216.053-06,Pix Recebido,42.07,2026-01-24,08:41:12
1636,835.460.719-48,760.481.293-78,Saque Pix,4.95,2026-01-28,08:42:30
202,238.164.507-17,059.872.634-92,Transferência,4.76,2026-01-21,17:05:58
1225,059.243.876-74,820.351.746-35,Pix Enviado,77.8,2026-01-30,07:25:41
5157,769.350.184-39,812.450.967-02,Pix Enviado,100,2026-01-13,21:13:27
4918,063.418.279-03,267.940.315-07,Saque Pix,67.23,2026-01-07,23:40:22
5075,852.976.043-38,706.415.293-25,Pix Enviado,102.85,2026-01-03,14:40:00
3476,645.723.801-71,605.279.138-12,Saque Pix,17.45,2026-01-17,14:53:28
364,325.841.760-17,916.327.540-61,Saque Pix,21.24,2026-01-07,10:07:35
2844,126.735.894-73,529.607.843-83,Pix Recebido,58.67,2026-01-27,03:14:29
933,475.690.821-76,706.384.125-44,Pagamento,251.86,2026-01-16,01:17:39
844,659.438.702-29,165.874.920-02,Transferência,3.35,2026-01-07,22:26:34
867,657.413.290-80,097.213.685-12,Pagamento,5.0,2026-01-02,07:09:52
5211,296.387.105-86,748.530.196-93,Pix Enviado,19445.19,2026-01-11,01:26:38
1482,652.184.037-17,842.967.503-56,Transferência,47.84,2026-01-02,09:21:15
2178,014.386.759-84,023.157.896-21,Saque Pix,28.25,2026-01-11,21:52:22
4191,692.081.374-22,031.794.582-32,Transferência,147.94,2026-01-20,17:55:46
3003,539.867.201-03,285.360.941-33,Pix Enviado,1.53,2026-01-07,19:34:32
1496,165.270.834-08,423.185.069-06,Transferência,159.51,2026-01-01,09:52:25
3343,624.158.397-28,039.285.471-60,Pix Enviado,59.81,2026-01-30,22:28:49
3676,407.821.356-17,593.106.728-03,Pix Enviado,381.41,2026-01-30,21:25:37
4148,901.527.634-06,908.617.235-03,Saque Pix,316.74,2026-01-11,11:17:19
561,205.437.968-92,874.510.369-01,Transferência,35.59,2026-01-01,01:23:54
3010,546.921.730-25,603.219.485-05,Saque Pix,60.52,2026-01-23,08:12:45
2201,798.130.564-01,586.142.937-55,Transferência,16.33,2026-01-02,08:05:27
2784,218.973.650-12,901.527.634-06,Pix Recebido,76.05,2026-01-11,08:29:51
1145,367.158.024-08,736.541.829-09,Pix Enviado,1.55,2026-01-02,15:00:48
4573,164.728.503-80,798.130.564-01,Pix Enviado,11.17,2026-01-18,17:15:12
192,586.142.937-55,538.164.790-57,Saque Pix,12.27,2026-01-21,07:46:30
1347,648.905.137-01,302.987.615-21,Pagamento,86.32,2026-01-14,11:33:13
4383,627.453.189-00,365.182.970-77,Saque Pix,24.51,2026-01-22,16:22:02
4239,405.623.871-53,950.431.628-05,Pix Enviado,31.87,2026-01-11,14:33:58
1871,025.167.489-49,369.418.702-22,Pix Recebido,59.87,2026-01-22,19:41:05
1083,039.285.471-60,608.471.239-87,Pagamento,77.31,2026-01-27,20:57:56
1898,561.379.248-82,062.385.149-06,Pix Recebido,8.6,2026-01-14,19:30:06
854,641.305.897-84,713.045.682-53,Saque Pix,104.6,2026-01-30,08:08:45
2846,465.273.108-62,741.692.835-46,Pix Recebido,165.05,2026-01-30,07:22:58
3785,782.914.356-00,603.184.597-01,Transferência,36.77,2026-01-02,09:31:44
344,631.892.540-60,539.867.201-03,Pix Recebido,18.35,2026-01-22,08:07:29
3144,851.249.036-51,025.167.489-49,Transferência,26.91,2026-01-13,10:22:18
1683,524.963.071-52,149.072.865-11,Saque Pix,3.66,2026-01-16,09:31:46
869,159.062.437-80,041.837.295-05,Saque Pix,250.62,2026-01-24,23:10:59
5184,712.308.549-32,714.256.309-52,Pix Enviado,1500,2026-01-10,13:12:43
885,185.324.697-28,321.075.869-77,Pagamento,24.53,2026-01-04,15:19:02
2100,261.430.597-99,826.043.157-26,Pix Recebido,69.3,2026-01-04,12:40:39
4097,340.892.756-10,574.190.283-97,Pix Recebido,12.15,2026-01-13,18:49:47
1739,175.084.369-20,710.385.264-26,Transferência,4.72,2026-01-11,06:51:57
4217,605.432.978-29,973.125.408-05,Transferência,127.19,2026-01-28,14:42:57
2297,147.529.380-14,378.046.912-03,Saque Pix,5.69,2026-01-13,18:04:40
3199,705.612.893-95,675.908.214-11,Saque Pix,55.58,2026-01-04,03:44:08
683,549.318.267-09,397.614.280-87,Transferência,26.99,2026-01-16,18:31:51
488,784.952.361-09,790.314.562-25,Saque Pix,266.43,2026-01-13,18:36:47
4290,786.923.540-74,951.380.274-41,Saque Pix,101.34,2026-01-29,08:36:17
1980,164.753.029-61,459.102.768-67,Pagamento,236.64,2026-01-16,13:12:38
650,387.190.524-05,103.426.978-03,Pagamento,8.17,2026-01-07,13:15:26
2535,405.179.628-02,126.735.894-73,Transferência,70.43,2026-01-11,06:14:07
34,352.987.164-82,456.201.389-33,Pix Enviado,50.56,2026-01-12,13:01:56
1462,324.765.891-28,756.231.089-03,Transferência,57.51,2026-01-04,22:37:27
3830,548.190.372-50,946.572.813-64,Pix Recebido,23.35,2026-01-15,09:04:33
1639,420.156.983-70,274.083.165-07,Saque Pix,16.47,2026-01-08,08:19:55
3406,173.469.802-04,690.582.174-85,Pix Enviado,213.92,2026-01-06,10:57:24
2403,617.409.532-07,782.914.356-00,Pagamento,255.46,2026-01-04,09:53:46
4156,392.061.754-16,046.157.823-90,Pix Recebido,53.73,2026-01-08,06:19:00
545,631.892.540-60,394.761.058-01,Saque Pix,84.8,2026-01-07,11:32:37
1894,678.925.134-00,394.761.058-01,Transferência,34.41,2026-01-16,21:05:05
2305,079.652.148-49,360.479.185-57,Pix Enviado,17.61,2026-01-28,19:39:48
4389,936.807.412-78,294.357.081-88,Pix Recebido,11.09,2026-01-07,10:04:09
1751,925.164.708-94,874.625.390-47,Transferência,12.08,2026-01-10,17:46:24
3151,072.584.613-53,104.736.958-39,Pix Recebido,214.66,2026-01-29,19:00:04
1759,461.930.852-89,741.692.835-46,Pagamento,46.61,2026-01-23,17:12:30
4360,310.748.562-44,497.025.613-61,Saque Pix,9.49,2026-01-04,16:22:47
3217,936.807.412-78,405.179.628-02,Pix Enviado,203.52,2026-01-31,16:45:07
1994,874.361.592-91,036.571.248-53,Transferência,41.19,2026-01-04,05:56:41
1350,097.836.214-40,923.150.784-23,Pix Recebido,407.95,2026-01-17,14:12:04
1037,901.527.634-06,936.807.412-78,Pix Recebido,16.66,2026-01-24,20:52:15
1248,167.845.932-19,698.405.127-49,Pix Enviado,8.22,2026-01-01,21:59:11
735,349.270.618-50,325.769.084-38,Pix Recebido,14.09,2026-01-19,07:27:47
3338,247.186.530-53,753.206.498-00,Pix Recebido,82.94,2026-01-11,19:02:48
166,619.423.580-24,035.978.642-10,Pagamento,7.05,2026-01-14,21:00:21
1604,362.794.051-25,036.571.248-53,Pix Recebido,24.77,2026-01-01,22:12:53
4713,264.983.571-00,023.157.896-21,Saque Pix,118.63,2026-01-16,22:49:30
1908,041.837.295-05,856.047.923-65,Pix Enviado,11.44,2026-01-08,14:52:28
471,394.761.058-01,189.374.560-01,Transferência,4.54,2026-01-18,11:33:27
4660,206.189.473-96,403.182.657-53,Pix Recebido,3.44,2026-01-02,09:44:28
583,684.512.790-58,852.091.463-24,Pix Recebido,16.12,2026-01-28,12:25:25
655,546.832.109-24,367.158.024-08,Pix Recebido,3.72,2026-01-16,10:01:50
3455,238.409.176-03,296.518.073-77,Pix Enviado,75.28,2026-01-06,12:53:26
2081,089.647.251-58,780.364.952-10,Pix Recebido,15.25,2026-01-15,07:31:13
3064,621.973.504-80,657.408.913-10,Transferência,91.9,2026-01-03,17:12:36
3550,106.847.592-76,023.157.896-21,Pix Enviado,468.51,2026-01-18,13:03:09
4330,039.856.271-77,381.462.795-46,Pix Enviado,252.03,2026-01-02,14:54:31
1437,837.149.560-93,723.504.691-07,Pagamento,121.06,2026-01-15,11:36:29
4730,743.810.695-01,957.634.182-55,Pix Recebido,37.35,2026-01-05,15:18:11
3586,235.879.640-92,392.061.754-16,Saque Pix,102.77,2026-01-25,18:57:37
1537,041.837.625-53,821.043.657-08,Transferência,48.83,2026-01-05,17:45:01
2242,659.438.017-66,842.967.503-56,Saque Pix,12.43,2026-01-03,09:24:27
1506,659.438.017-66,109.867.534-75,Saque Pix,53.69,2026-01-13,10:20:40
4683,362.504.978-38,865.124.307-35,Transferência,236.41,2026-01-23,11:12:13
2817,296.035.418-42,603.219.485-05,Pix Recebido,31.78,2026-01-03,11:28:52
4506,593.106.728-03,230.541.986-42,Transferência,32.72,2026-01-10,23:34:25
1056,603.124.987-13,523.918.647-28,Saque Pix,4.77,2026-01-05,22:53:59
3702,736.425.198-73,041.837.625-53,Pix Enviado,10.59,2026-01-20,10:27:57
2009,397.614.280-87,413.589.027-04,Pagamento,4.75,2026-01-28,05:50:03
4098,045.927.163-61,264.708.951-58,Pix Enviado,88.94,2026-01-12,08:41:12
817,780.364.952-10,629.850.314-51,Pix Enviado,139.13,2026-01-17,06:56:06
612,059.412.638-05,194.583.260-60,Transferência,41.74,2026-01-01,10:17:54
3652,692.081.374-22,713.904.628-03,Saque Pix,4.38,2026-01-17,12:56:49
779,347.685.102-80,637.541.089-48,Pix Enviado,16.08,2026-01-04,10:55:30
744,534.106.978-10,340.892.756-10,Pagamento,22.1,2026-01-29,13:20:49
5083,980.372.451-79,185.903.426-89,Pix Enviado,81.22,2026-01-24,14:05:00
637,580.364.297-56,160.592.478-49,Transferência,53.37,2026-01-07,07:11:52
447,568.790.312-77,906.432.781-50,Saque Pix,22.88,2026-01-09,14:53:59
660,045.927.163-61,853.612.094-06,Transferência,26.01,2026-01-26,08:47:34
2636,081.254.963-51,946.572.813-64,Pagamento,37.88,2026-01-27,17:38:39
2328,549.386.270-00,397.614.280-87,Pix Enviado,5.65,2026-01-04,18:22:37
2847,729.835.106-03,165.874.920-02,Pagamento,18.35,2026-01-04,15:40:37
694,786.923.540-74,379.206.814-13,Pagamento,32.64,2026-01-07,09:17:28
1993,691.782.045-85,687.203.154-90,Transferência,308.47,2026-01-20,12:53:57
4493,906.247.813-13,364.751.092-07,Pix Enviado,64.05,2026-01-14,15:57:45
2013,780.364.952-10,059.412.638-05,Pix Recebido,20.48,2026-01-19,22:34:00
2341,296.518.073-77,586.142.937-55,Pix Recebido,272.46,2026-01-27,18:27:12
2998,723.504.691-07,386.452.079-74,Pagamento,17.65,2026-01-31,10:11:41
4354,201.479.685-85,296.308.147-22,Pagamento,2.54,2026-01-14,15:40:07
4049,219.347.805-88,461.930.852-89,Saque Pix,22.64,2026-01-14,21:28:34
2495,471.953.820-79,756.231.089-03,Transferência,8.38,2026-01-18,16:41:33
4332,042.837.195-79,653.817.209-12,Pagamento,28.89,2026-01-01,22:23:05
1618,630.459.872-65,426.789.013-78,Pix Recebido,39.37,2026-01-26,15:57:36
3794,673.185.204-07,165.874.920-02,Pagamento,44.67,2026-01-29,19:36:59
2843,362.504.978-38,503.197.648-93,Pix Recebido,9.54,2026-01-12,11:56:54
257,430.187.562-07,856.041.793-10,Transferência,68.62,2026-01-09,12:48:31
1907,810.792.435-50,501.936.428-24,Transferência,6.73,2026-01-27,13:07:09
2208,059.872.634-92,540.891.732-05,Pagamento,196.57,2026-01-15,06:41:28
184,630.859.427-00,219.347.805-88,Transferência,51.41,2026-01-20,08:39:50
80,609.483.725-83,713.904.628-03,Saque Pix,1.33,2026-01-27,20:01:00
